datetime,in_avg_response_time,in_throughput,in_ipr,out_avg_response_time_main.bal:125:40,out_avg_response_time_main.bal:100:42,out_avg_response_time_main.bal:75:44,out_throughput_main.bal:125:40,out_throughput_main.bal:100:42,out_throughput_main.bal:75:44,out_inprogress_requests_main.bal:75:44,out_inprogress_requests_main.bal:100:42,out_inprogress_requests_main.bal:125:40,cpu_usage_mean,memory_usage_mean
2020-06-08 02:10:50+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4090759616.5,110952448.0
2020-06-08 02:11:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4099054006.6666665,111002965.33333333
2020-06-08 02:11:10+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4118589895.0,110929042.28571428
2020-06-08 02:11:20+00:00,670.1627276818182,2.1423702405297496,4.0,203.1723433636364,181.05187683333332,174.9027363846154,2.1423702405297496,2.337131171487,2.5318921024442496,2.0,1.0,1.0,6447905485.714286,152751542.85714287
2020-06-08 02:11:30+00:00,46.081625974828384,80.67940552016984,3.0,13.879855087899545,14.639940042334096,13.282821662100456,80.86402658543341,80.67940552016984,80.86402658543341,1.0,1.0,1.0,14808353934.857143,189852525.7142857
2020-06-08 02:11:40+00:00,32.83068206109325,114.12844036697248,4.0,9.854744331723024,11.160007905144695,9.54915675120773,113.94495412844036,114.12844036697248,113.94495412844036,0.0,1.0,2.0,24786449526.285713,199158637.7142857
2020-06-08 02:11:50+00:00,25.579727601355515,148.19211102994888,4.0,8.517518375231054,6.18400673674476,9.10889487430684,148.19211102994888,148.1008035062089,148.19211102994888,0.0,0.0,3.0,33737980325.0,198677299.2
2020-06-08 02:12:00+00:00,23.327734340205478,163.58521391262235,4.0,7.291734504863987,6.539716880930043,8.007860260818717,163.58521391262235,163.6773771298042,163.58521391262235,0.0,0.0,3.5,41610907718.0,199917568.0
2020-06-08 02:12:10+00:00,21.07574107905544,178.97831679529583,4.0,6.06595063449692,6.895427025115326,6.906825647330595,178.97831679529583,179.25395075339947,178.97831679529583,0.0,0.0,4.0,49074606987.166664,201152512.0
2020-06-08 02:12:20+00:00,15.383998946989776,243.09646539027986,4.0,4.146502815978796,4.193927664770571,6.104899954166666,243.09646539027986,242.72827687776143,243.00441826215018,2.0,3.0,0.0,56566018200.0,203648438.85714287
2020-06-08 02:12:30+00:00,10.655341029994645,345.1973745030969,2.0,3.163092511247992,3.501745588644885,3.2480913056522907,345.1973745030969,345.1973745030969,345.1049274290469,0.0,0.0,2.0,63301502675.28571,204774838.85714287
2020-06-08 02:12:40+00:00,9.74777059945504,372.8985774986144,4.0,3.0891469487242995,2.965758009162952,2.9231315388999013,372.8985774986144,372.9909477184557,372.8062072787733,2.0,0.0,1.0,69976041242.33333,205572096.0
2020-06-08 02:12:50+00:00,9.462192328092486,382.4049513704686,4.0,2.8787687976878615,2.962244531654344,2.860543987292052,382.4049513704686,382.6702033598585,382.6702033598585,0.0,0.0,2.0,76700767956.33333,205905920.0
2020-06-08 02:13:00+00:00,9.621886969090447,373.48599545798635,4.0,2.998798698251837,3.0086307718631184,2.904985928806689,373.48599545798635,373.2967448902346,373.48599545798635,2.0,2.0,2.0,83412245773.85715,206426112.0
2020-06-08 02:13:10+00:00,9.552336144723863,376.4967975494291,2.0,2.8933161028106515,2.9307284223372783,2.9658073409763315,376.4967975494291,376.4967975494291,376.4967975494291,0.0,0.0,2.0,90125318662.0,206764909.7142857
2020-06-08 02:13:20+00:00,9.524930188902294,383.51221317542564,4.0,2.912468872135103,2.957225739686369,2.953512334620024,383.51221317542564,383.51221317542564,383.51221317542564,2.0,0.0,0.0,96647748951.66667,206958592.0
2020-06-08 02:13:30+00:00,9.835405821662471,368.5138772858071,4.0,2.947031973047859,3.0287402926952143,3.05789434375,368.5138772858071,368.5138772858071,368.3282279773508,0.0,0.0,1.0,102843793466.14285,207589376.0
2020-06-08 02:13:40+00:00,9.519514954336797,383.20525877233587,2.0,2.8892012797777245,2.9787499364273633,2.8977193692344847,383.20525877233587,383.0200907323396,383.3904268123322,0.0,0.0,2.0,110372023501.57143,207829284.57142857
2020-06-08 02:13:50+00:00,9.531685005359318,379.9518696778971,4.0,2.8450019982947623,3.005614651972723,2.9392177425091357,379.9518696778971,380.0444279896335,379.9518696778971,2.0,3.0,0.0,116481242041.33333,208042666.66666666
2020-06-08 02:14:00+00:00,9.511154493284494,378.9912077741785,3.0,2.9262577225885225,2.9833771750488283,2.876954711599512,378.9912077741785,379.0837575196669,378.9912077741785,0.0,1.0,0.0,123029283285.85715,208259949.7142857
2020-06-08 02:14:10+00:00,9.522629663592635,379.42631982242415,3.5,2.884215544473424,2.9915826308545013,2.9097523059456707,379.24156231665046,379.2878371893946,379.42631982242415,2.0,1.5,0.0,130114485820.83333,210058581.33333334
2020-06-08 02:14:20+00:00,9.534104833900775,379.8614318706697,4.0,2.8421733663583253,2.9997880866601747,2.9425499002918287,379.4919168591224,379.4919168591224,379.8614318706697,4.0,2.0,0.0,136747377156.5,210807466.66666666
2020-06-08 02:14:30+00:00,9.583789373991687,377.81677133357965,5.0,2.968280661376953,2.945795202392578,2.9286272375366567,378.2785371259697,378.2785371259697,377.90912449205763,2.0,2.0,1.0,142924735611.14285,211693568.0
