timestamp,in_avg_response_time,in_throughput,in_ipr,out_avg_response_time_main.bal:125:40,out_avg_response_time_main.bal:75:44,out_avg_response_time_main.bal:100:42,out_throughput_main.bal:125:40,out_throughput_main.bal:75:44,out_throughput_main.bal:100:42,out_inprogress_requests_main.bal:100:42,out_inprogress_requests_main.bal:125:40,out_inprogress_requests_main.bal:75:44
2020-06-18 10:18:50.336000+00:00,114.86125789356436,38.973567431989196,4.0,27.875080150617283,38.65657385012285,33.37062961764706,39.070036658306,39.26297511093961,39.35944433725642,1.0,2.0,4.0
2020-06-18 10:19:02.083000+00:00,53.532825728728724,85.04298969949775,5.0,15.270874906813628,15.240816824824824,14.910202203203204,84.95786158168043,85.04298969949775,85.04298969949775,2.0,2.0,1.0
2020-06-18 10:19:12.666000+00:00,36.95746516412556,105.3576490598129,5.0,10.333599507623319,10.471838018850988,11.001325078167117,105.3576490598129,105.26315789473684,105.16866672966077,1.0,1.0,2.0
2020-06-18 10:19:23.155000+00:00,21.367381033695654,87.71093526551626,4.0,5.818939716304348,6.623264613463626,6.4061843790849675,87.71093526551626,87.80627323863095,87.52025931928688,3.0,0.0,1.0
2020-06-18 10:19:33.700000+00:00,9.670350434417628,90.37458511142722,5.0,2.9007842528856242,2.688323450157398,2.659156445960126,90.37458511142722,90.37458511142722,90.37458511142722,3.0,0.0,2.0
2020-06-18 10:19:44.122000+00:00,8.547945700094607,101.42007292266359,5.0,2.466170960264901,2.5319419168241963,2.481268335856197,101.42007292266359,101.51602379581655,101.42007292266359,4.0,0.0,2.0
2020-06-18 10:19:54.600000+00:00,8.476753208216621,102.21416300820766,5.0,2.552094800186741,2.464224899159664,2.3943029505597013,102.21416300820766,102.21416300820766,102.30960106890629,3.0,1.0,1.0
2020-06-18 10:20:05.068000+00:00,7.042366304964538,121.22659533817348,4.0,2.0487054405043343,2.14828008044164,1.9593412160883281,121.22659533817348,121.1310661062285,121.1310661062285,3.0,0.0,1.0
2020-06-18 10:20:15.473000+00:00,7.1502810248796145,119.7501201345507,5.0,2.014705783306581,2.275494341619888,2.039304064955894,119.7501201345507,119.84622777510812,119.84622777510812,3.0,0.0,2.0
2020-06-18 10:20:25.915000+00:00,6.826636527926549,125.1675924152461,5.0,2.0360036136189748,2.04811193338438,1.9287168583460947,125.1675924152461,125.07182532081976,125.07182532081976,3.0,1.0,1.0
2020-06-18 10:20:36.299000+00:00,6.328046171796707,134.53389830508476,5.0,1.8145422612741589,1.9125543969957082,1.8815495948460987,134.53389830508476,134.63020030816642,134.53389830508476,4.0,0.0,1.0
2020-06-18 10:20:46.709000+00:00,5.954510024390244,141.78674351585013,5.0,1.725446424796748,1.8401772899728996,1.7212039018280298,141.78674351585013,141.78674351585013,141.88280499519692,3.0,0.0,2.0
2020-06-18 10:20:57.151000+00:00,6.496053501468428,130.43478260869566,5.0,1.8807088979441997,1.9400201262848753,1.9305571306901617,130.43478260869566,130.43478260869566,130.43478260869566,3.0,0.0,2.0
2020-06-18 10:21:07.588000+00:00,6.398230054844607,157.22908881862605,6.0,1.8650668721071864,1.9301088788063339,1.8627904692260817,157.32490179170262,157.32490179170262,157.22908881862605,4.0,0.0,1.0
2020-06-18 10:21:18.010000+00:00,7.57112258630137,280.17654960660144,9.0,2.270094633778691,2.2463047303871186,2.165528251369863,280.0805987334485,280.0805987334485,280.17654960660144,4.0,0.0,3.0
2020-06-18 10:21:28.411000+00:00,11.547709413416149,386.9820209595231,9.0,3.543310435031056,3.3263683697813122,3.3076799140159046,386.9820209595231,386.8858763580425,386.8858763580425,3.0,0.0,5.0
2020-06-18 10:21:38.856000+00:00,11.285372289721886,395.8831977022499,9.0,3.1505992111245464,3.522213327852998,3.2298239262572532,395.8831977022499,395.97893729056966,395.97893729056966,3.0,3.0,2.0
2020-06-18 10:21:49.258000+00:00,14.455842609899054,295.2316862141896,8.0,4.20742025691957,4.284681592387768,4.063474183859421,295.2316862141896,295.5200922899443,295.4239569313594,4.0,3.0,1.0
2020-06-18 10:21:59.784000+00:00,17.075087449841604,269.9030970929128,8.0,5.60708236242083,4.464224036971831,4.919846883450704,269.9980999429983,269.80809424282734,269.80809424282734,5.0,1.0,4.0
2020-06-18 10:22:10.191000+00:00,16.709368549260194,266.26309214951476,9.0,4.761615364620939,4.911865239263804,4.955307153318904,266.1670029787643,266.26309214951476,266.3591813202652,4.0,1.0,3.0
2020-06-18 10:22:20.668000+00:00,15.275521686042692,290.63663262384273,8.0,4.378741947454843,4.493521927797834,4.467016444189101,290.63663262384273,290.8275269638255,290.7320797938341,5.0,0.0,1.0
2020-06-18 10:22:31.085000+00:00,13.404731256069365,332.14937122012094,8.0,3.863785227679861,3.9329190644695,3.878756469364162,332.24536814821926,332.0533742920226,332.14937122012094,4.0,0.0,2.0
2020-06-18 10:22:41.603000+00:00,11.881086192063087,373.740254801293,9.0,3.498052026717557,3.5256219445574772,3.3647487608750954,373.6451796919566,373.8353299106294,373.740254801293,6.0,0.0,4.0
2020-06-18 10:22:52.065000+00:00,12.445781652092775,358.53565283884535,9.0,3.5373820357238066,3.623366936766275,3.641182742796158,358.53565283884535,358.24890078378894,358.24890078378894,4.0,0.0,2.0
2020-06-18 10:23:02.659000+00:00,13.726814510774608,324.14574287332454,8.0,4.016727627256843,4.022494442212518,3.921482461717613,324.14574287332454,324.24013592599584,324.24013592599584,4.0,2.0,1.0
